Item_Number,Name,Year,Theme,Subtheme,Pieces,Minifigures,Image_URL,USD_MSRP,Packaging,Availability,wanted,owned,rating,theme_grp,review_num,query_id,adjust_coef,adj_USD_MSRP
10602,Camping,2015,Duplo,No_Subtheme,38.0,0.0,http://images.brickset.com/sets/images/10602-1.jpg,29.99,Box,Retail,52.0,110.0,0,Pre-school,0,10602-1,1.0,29.99
10603,My First Bus,2015,Duplo,No_Subtheme,17.0,1.0,http://images.brickset.com/sets/images/10603-1.jpg,14.99,Box,Retail,24.0,130.0,0,Pre-school,0,10603-1,1.0,14.99
10604,Jake and the Never Land Pirates Treasure Island,2015,Duplo,No_Subtheme,25.0,0.0,http://images.brickset.com/sets/images/10604-1.jpg,19.99,Box,Retail,42.0,114.0,0,Pre-school,0,10604-1,1.0,19.99
10605,Doc McStuffins Rosie the Ambulance,2015,Duplo,No_Subtheme,16.0,0.0,http://images.brickset.com/sets/images/10605-1.jpg,19.99,Box,Retail,33.0,101.0,0,Pre-school,0,10605-1,1.0,19.99
10606,Doc McStuffins Backyard Clinic,2015,Duplo,No_Subtheme,39.0,0.0,http://images.brickset.com/sets/images/10606-1.jpg,29.99,Box,Retail,52.0,146.0,0,Pre-school,0,10606-1,1.0,29.99
10615,My First Tractor,2015,Duplo,No_Subtheme,12.0,2.0,http://images.brickset.com/sets/images/10615-1.jpg,14.99,Box,Retail,41.0,274.0,0,Pre-school,0,10615-1,1.0,14.99
10616,My First Playhouse,2015,Duplo,No_Subtheme,25.0,2.0,http://images.brickset.com/sets/images/10616-1.jpg,19.99,Box,Retail,47.0,240.0,0,Pre-school,0,10616-1,1.0,19.99
10617,My First Farm,2015,Duplo,No_Subtheme,26.0,2.0,http://images.brickset.com/sets/images/10617-1.jpg,19.99,Box,Retail,53.0,317.0,0,Pre-school,0,10617-1,1.0,19.99
10618,Creative Building Box,2015,Duplo,No_Subtheme,70.0,2.0,http://images.brickset.com/sets/images/10618-1.jpg,24.99,Box,Retail,29.0,114.0,0,Pre-school,0,10618-1,1.0,24.99
10622,Large Creative Box,2015,Duplo,No_Subtheme,193.0,0.0,http://images.brickset.com/sets/images/10622-1.jpg,59.99,Box,Retail,23.0,88.0,0,Pre-school,0,10622-1,1.0,59.99
10677,Beach Trip,2015,Juniors,No_Subtheme,74.0,1.0,http://images.brickset.com/sets/images/10677-1.jpg,9.99,Box,Retail,229.0,653.0,0,Junior,0,10677-1,1.0,9.99
10679,Pirate Treasure Hunt,2015,Juniors,Pirates,57.0,2.0,http://images.brickset.com/sets/images/10679-1.jpg,9.99,Box,Retail,389.0,1354.0,4.66666666666667,Junior,3,10679-1,1.0,9.99
10680,Garbage Truck,2015,Juniors,No_Subtheme,99.0,2.0,http://images.brickset.com/sets/images/10680-1.jpg,19.99,Box,Retail,321.0,590.0,4,Junior,1,10680-1,1.0,19.99
10683,Road Work Truck,2015,Juniors,No_Subtheme,132.0,2.0,http://images.brickset.com/sets/images/10683-1.jpg,19.99,Box,Retail,250.0,504.0,0,Junior,0,10683-1,1.0,19.99
10686,Family House,2015,Juniors,No_Subtheme,226.0,3.0,http://images.brickset.com/sets/images/10686-1.jpg,29.99,Box,Retail,212.0,397.0,4,Junior,1,10686-1,1.0,29.99
10687,Spider-Man Hideout,2015,Juniors,No_Subtheme,137.0,0.0,http://images.brickset.com/sets/images/10687-1.jpg,29.99,Box,Retail,404.0,673.0,0,Junior,0,10687-1,1.0,29.99
10692,Creative Bricks,2015,Classic,No_Subtheme,221.0,0.0,http://images.brickset.com/sets/images/10692-1.jpg,16.99,Box,Retail,233.0,906.0,0,Basic,0,10692-1,1.0,16.99
10693,Creative Supplement,2015,Classic,No_Subtheme,303.0,0.0,http://images.brickset.com/sets/images/10693-1.jpg,19.99,Box,Retail,273.0,1000.0,0,Basic,0,10693-1,1.0,19.99
